passportnumber,name,country,nameofinstitution,course,startyear,endyear
MNO9101PQR,Anil Kumar,Malaysia,Raika Primary School,-,1978,1983
MNO9101PQR,Anil Kumar,Malaysia,Baranagar Middle School,All India Secondary School Examination,1984,1985
MNO9101PQR,Anil Kumar,Malaysia,St George’s Junior High School,-,1986,1987
MNO9101PQR,Anil Kumar,Malaysia,St George’s Senior High School,All India Senior School Certificate Examination,1988,1989
MNO9101PQR,Anil Kumar,Vietnam,Smart National University of Vietnam,Bachelor of Business Administration,1992,1995
GHI5678JKL,Alice Gan,Malaysia,Sekolah Rendah Kebangsaan Peringgit,Ujian Percapaian Sekolah Rendah,1978,1983
GHI5678JKL,Alice Gan,Malaysia,Sekolah Menengah Kebangsaan Chung Hua,Penilaian Menengah Rendah,1984,1986
GHI5678JKL,Alice Gan,Malaysia,Sekolah Menengah Kebangsaan Chung Hua,Sijil Pelajaran Malaysia,1987,1989
GHI5678JKL,Alice Gan,Vietnam,Smart National University of Vietnam,Bachelor of Business Administration,1992,1995
ABC1234DEF,Ariff Johan,Singapore,Bukit Panjang Primary School,Primary School Leaving Examination,1978,1983
ABC1234DEF,Ariff Johan,Singapore,Maju Secondary School,General Certificate of Education Ordinary Level,1984,1987
ABC1234DEF,Ariff Johan,Singapore,Temasek Junior College,General Certificate of Education Advanced Level,1988,1989
ABC1234DEF,Ariff Johan,Vietnam,Smart National University of Vietnam,Bachelor of Business Administration,1992,1995
