passportnumber,name,country,cardnumber,transactiondate,merchant,amount
ABC1234DEF,Ariff Johan,Singapore,2345-6789-1011 -1213-1415,"Friday, 3 September 2021","5 SENSES BISTRO, SINGAPORE",$40.35
ABC1234DEF,Ariff Johan,Singapore,2345-6789-1011 -1213-1415,"Saturday, 4 September 2021","A.LAB, SINGAPORE",$250.22
ABC1234DEF,Ariff Johan,Singapore,2345-6789-1011 -1213-1415,"Tuesday, 7 September 2021","B*DAZZLE, SINGAPORE",$22.50
ABC1234DEF,Ariff Johan,Singapore,2345-6789-1011 -1213-1415,"Wednesday, 15 September 2021","CAFE KURIKO, SINGAPORE",$12.95
ABC1234DEF,Ariff Johan,Singapore,2345-6789-1011 -1213-1415,"Tuesday, 21 September 2021","DDM FASHION, SINGAPORE",$55.85
ABC1234DEF,Ariff Johan,Singapore,2345-6789-1011 -1213-1415,"Tuesday, 21 September 2021","E-BRIDGE PRE-SCHOOL, SINGAPORE",$282.90
ABC1234DEF,Ariff Johan,Singapore,2345-6789-1011 -1213-1415,"Tuesday, 21 September 2021","FAIRPRICE FINEST, SINGAPORE",$43.25
ABC1234DEF,Ariff Johan,Vietnam,2345-6789-1011 -1213-1415,"Wednesday, 29 September 2021","GRAND COCONUT HOTEL, VIETNAM",$1230.99
ABC1234DEF,Ariff Johan,Singapore,2345-6789-1011 -1213-1415,"Thursday, 30 September 2021","HM GALLERY OUTLET, SINGAPOE",$72.50
ABC1234DEF,Ariff Johan,Singapore,2345-6789-1011 -1213-1415,"Thursday, 30 September 2021","INNISFREE, SINGAPORE",$112.30
GHI5678JKL,Alice Gan,Malaysia,4567-8910-1112-1314-1516,"Sunday, 5 September 2021","BRAUN BUFFEL, MALAYSIA",$490.40
GHI5678JKL,Alice Gan,Malaysia,4567-8910-1112-1314-1516,"Sunday, 5 September 2021","THE TRAVEL STORE & LEATHER, MALAYSIA",$500.20
GHI5678JKL,Alice Gan,Malaysia,4567-8910-1112-1314-1516,"Wednesday, 8 September 2021","BOOM EYEWEAR, MALAYSIA ",$250.00
GHI5678JKL,Alice Gan,Malaysia,4567-8910-1112-1314-1516,"Wednesday, 8 September 2021","AYAM PENYET EXPRESS, MALAYSIA ",$22.50
GHI5678JKL,Alice Gan,Malaysia,4567-8910-1112-1314-1516,"Wednesday, 22 September 2021","FASHION AVENUE, MALAYSIA ",$390.30
GHI5678JKL,Alice Gan,Vietnam,4567-8910-1112-1314-1516,"Wednesday, 29 September 2021","GRAND COCONUT HOTEL, VIETNAM",$1230.99
GHI5678JKL,Alice Gan,Malaysia,4567-8910-1112-1314-1516,"Thursday, 30 September 2021","HIMALAYA, MALAYSIA ",$300.02
GHI5678JKL,Alice Gan,Malaysia,4567-8910-1112-1314-1516,"Thursday, 30 September 2021","NAIL AND FOOT SPA, MALAYSIA ",$150.30
GHI5678JKL,Alice Gan,Malaysia,4567-8910-1112-1314-1516,"Thursday, 30 September 2021","THE FACE SHOP, MALAYSIA ",$99.30
GHI5678JKL,Alice Gan,Malaysia,4567-8910-1112-1314-1516,"Thursday, 30 September 2021","BUNGKUS KAW-KAW, MALAYSIA ",$49.50
MNO9101PQR,Anil Kumar,India,6789-1213-1415-1819-2627,"Wednesday, 1 September 2021",BAGGIT,$100.35
MNO9101PQR,Anil Kumar,India,6789-1213-1415-1819-2627,"Wednesday, 1 September 2021",BLACKBERRYS,$345.50
MNO9101PQR,Anil Kumar,India,6789-1213-1415-1819-2627,"Wednesday, 15 September 2021",FLIGHT 4 FANTASY,$112.30
MNO9101PQR,Anil Kumar,India,6789-1213-1415-1819-2627,"Friday, 17 September 2021",HAPPY PLANET,$59.90
MNO9101PQR,Anil Kumar,India,6789-1213-1415-1819-2627,"Sunday, 19 September 2021",HELIOS WATCHES,$349.50
MNO9101PQR,Anil Kumar,Vietnam,6789-1213-1415-1819-2627,"Wednesday, 29 September 2021","GRAND COCONUT HOTEL, VIETNAM",$1230.99
MNO9101PQR,Anil Kumar,India,6789-1213-1415-1819-2627,"Thursday, 30 September 2021",HOME CENTRE,$732.90
MNO9101PQR,Anil Kumar,India,6789-1213-1415-1819-2627,"Thursday, 30 September 2021",INDIAN TERRAIN,$125.95
MNO9101PQR,Anil Kumar,India,6789-1213-1415-1819-2627,"Thursday, 30 September 2021",KAMA AYURVEDA,$211.20
MNO9101PQR,Anil Kumar,India,6789-1213-1415-1819-2627,"Thursday, 30 September 2021",MARKS AND SPENCER,$122.50
